@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {data/uniform_ah_18/1,data/uniform_ah_18/2}

@DATA
0.223953,0.033271,2.577951,0.330297,0.260959,1.722027,0.015251,0.403214,-31.460674,1.202586,0.276426,-0.287814,-0.596936,-0.240205,-0.209459,0.024274,-0.132179,-0.038835,-0.021353,-0.082345,-0.151348,0.022949,0.004494,0.049293,0.005657,0.011490,0.005857,0.067072,0.001060,0.007171,0.017940,0.014469,0.005931,0.028700,0.112226,0.080696,0.820375,0.092464,0.035777,0.898918,0.014217,0.272302,5.347068,1.030689,0.517045,0.302871,0.547800,0.285904,0.275097,0.231717,0.158017,0.220409,0.153975,0.159450,0.253346,0.028404,0.006328,0.054862,0.006227,0.010669,0.006516,0.077725,0.000912,0.014291,0.036517,0.013337,0.007564,0.021955,data/uniform_ah_18/2
0.225007,0.027421,2.634623,0.324148,0.251747,1.882352,0.012704,0.408333,-32.550016,1.242068,-0.162474,-0.329259,-0.591186,-0.423742,-0.102116,0.040346,-0.070493,0.072629,-0.096587,-0.052767,-0.187882,0.022565,0.010356,0.033550,0.009250,0.014323,0.005997,0.057868,0.002752,0.009084,0.014879,0.013182,0.006330,0.023334,0.094818,0.064706,0.893384,0.089974,0.035879,0.778026,0.013837,0.257994,6.015777,1.005651,0.539069,0.527841,0.420514,0.293867,0.199415,0.236708,0.149621,0.310225,0.251779,0.263413,0.252352,0.020245,0.016526,0.040784,0.013137,0.010454,0.005767,0.064499,0.002112,0.016644,0.023962,0.012881,0.005777,0.016722,data/uniform_ah_18/2
0.261404,0.017618,3.160634,0.386512,0.275140,2.380006,0.010782,0.616250,-35.003174,0.885464,0.155744,-0.424276,-0.363120,-0.335074,-0.166813,-0.082307,-0.102433,-0.129407,-0.155620,-0.157999,-0.079725,0.024780,0.008599,0.033443,0.017346,0.025485,0.005426,0.054333,0.001058,0.003263,0.004222,0.006543,0.002691,0.022300,0.074949,0.035501,0.181231,0.065784,0.022079,0.450625,0.009683,0.143061,3.002120,0.707092,0.284985,0.199807,0.167858,0.103421,0.133299,0.181037,0.064904,0.105994,0.166805,0.169878,0.109668,0.005701,0.010102,0.026596,0.024211,0.017860,0.007272,0.015823,0.000899,0.001569,0.001990,0.001508,0.001123,0.008098,data/uniform_ah_18/2
0.198585,0.045655,2.902518,0.288532,0.255568,1.488048,0.012177,0.302647,-30.723556,1.926007,0.355728,-0.274149,-0.254594,-0.123269,-0.215503,-0.041845,-0.306078,-0.357626,-0.340211,-0.223741,-0.176282,0.019580,0.011382,0.054497,0.038806,0.028360,0.015053,0.034370,0.001183,0.004023,0.007930,0.009624,0.002031,0.024449,0.130613,0.078252,0.564003,0.092658,0.032122,0.804257,0.009853,0.256217,6.874368,0.910620,0.382273,0.505806,0.381750,0.253555,0.194631,0.314980,0.242028,0.221540,0.334255,0.287079,0.228414,0.014632,0.022891,0.037469,0.041799,0.027136,0.019247,0.030157,0.001509,0.003535,0.012788,0.008183,0.001619,0.011870,data/uniform_ah_18/2
0.179132,0.040095,2.809866,0.294389,0.246202,1.458070,0.021812,0.325000,-30.561843,1.968248,0.347446,-0.433949,-0.443970,-0.286465,-0.310263,-0.069811,-0.184212,-0.041690,-0.229259,-0.128957,-0.054327,0.021175,0.006857,0.027272,0.016801,0.036415,0.017465,0.027559,0.001101,0.005126,0.015167,0.035641,0.012358,0.028106,0.123051,0.068473,0.668972,0.105553,0.048737,0.844557,0.025998,0.274332,6.383694,1.215153,0.485804,0.615114,0.328663,0.311711,0.271194,0.438128,0.335631,0.250274,0.337894,0.254475,0.273683,0.034056,0.012953,0.033960,0.015851,0.056298,0.019213,0.035826,0.001671,0.005292,0.023315,0.054753,0.024883,0.016631,data/uniform_ah_18/2
0.144987,0.017553,3.076272,0.296171,0.265483,1.496567,0.012380,0.257000,-34.720263,1.797411,0.247890,-0.402138,-0.496883,-0.391687,-0.272536,-0.253005,-0.303251,-0.233634,-0.087836,-0.144782,-0.089430,0.019884,0.005263,0.047779,0.052954,0.018082,0.018877,0.044235,0.000992,0.006331,0.014427,0.019157,0.010564,0.028048,0.055276,0.029285,0.239329,0.052997,0.020113,0.479289,0.010800,0.140882,3.351590,0.551821,0.244448,0.249260,0.213869,0.095954,0.142796,0.114551,0.117604,0.115565,0.133892,0.129912,0.114741,0.016615,0.005114,0.012245,0.026447,0.009324,0.005691,0.023579,0.000793,0.003038,0.025249,0.025364,0.011892,0.008704,data/uniform_ah_18/2
0.247825,0.030619,2.887189,0.354266,0.265298,2.027744,0.012911,0.458529,-34.085088,1.156328,0.100822,-0.354137,-0.362578,-0.224536,-0.056124,0.043687,-0.119821,-0.089149,-0.117984,-0.116599,-0.218554,0.028502,0.009622,0.021829,0.011521,0.015875,0.003689,0.037089,0.001689,0.005565,0.017939,0.021598,0.009327,0.019768,0.112366,0.070327,0.444018,0.096521,0.030321,0.827565,0.013317,0.245146,7.243943,1.008953,0.430300,0.467168,0.358653,0.303177,0.129449,0.241832,0.261854,0.207028,0.269767,0.200955,0.206960,0.018965,0.019354,0.020941,0.016591,0.009406,0.002810,0.032235,0.001113,0.004658,0.033113,0.024823,0.019953,0.009222,data/uniform_ah_18/2
0.254386,0.028259,2.780713,0.336080,0.256146,1.935472,0.011357,0.455000,-32.853230,1.356174,0.084958,-0.326533,-0.391123,-0.302248,-0.139481,-0.060879,-0.250379,-0.136901,-0.217189,-0.074630,-0.085358,0.025002,0.005983,0.033682,0.011828,0.041596,0.010913,0.042359,0.002441,0.004109,0.009892,0.016571,0.004362,0.024207,0.148099,0.060215,0.480361,0.113560,0.034260,0.868444,0.011111,0.257862,6.709276,1.193161,0.435123,0.386488,0.275163,0.210786,0.204422,0.181126,0.359831,0.211915,0.311284,0.252381,0.250641,0.016153,0.006873,0.037117,0.009954,0.067407,0.015620,0.035999,0.001872,0.002434,0.014346,0.017588,0.003886,0.016566,data/uniform_ah_18/2
0.215382,0.036233,3.008103,0.305334,0.233163,1.927760,0.015912,0.394687,-31.331564,1.628915,-0.338207,-0.380226,-0.455096,-0.425426,-0.221581,-0.001273,-0.191085,-0.224110,-0.338097,-0.209283,-0.218272,0.025885,0.021953,0.035231,0.032962,0.017137,0.007178,0.012603,0.003368,0.005170,0.006070,0.007334,0.006416,0.020159,0.094304,0.058260,0.463013,0.106345,0.046048,0.917312,0.015553,0.259600,6.686984,1.408353,0.517194,0.523056,0.395012,0.228278,0.196551,0.278646,0.254061,0.330175,0.270674,0.341560,0.349109,0.042812,0.034708,0.016645,0.054406,0.024552,0.004645,0.012186,0.002625,0.004904,0.005188,0.006158,0.004673,0.016603,data/uniform_ah_18/2
0.257261,0.029332,2.849753,0.310192,0.227914,1.923099,0.013908,0.406471,-31.078297,1.549902,-0.321629,-0.272759,-0.479572,-0.360677,-0.202216,-0.092130,-0.202526,-0.078659,-0.195583,-0.194429,-0.311814,0.043161,0.012319,0.032592,0.008153,0.008166,0.008601,0.012550,0.003744,0.005636,0.008501,0.013360,0.033485,0.019964,0.137910,0.052522,0.760648,0.114600,0.049009,0.939212,0.015771,0.283755,6.265908,1.442469,0.697401,0.538849,0.403280,0.296224,0.251783,0.299272,0.191014,0.190432,0.155694,0.303097,0.323087,0.041768,0.026701,0.038453,0.007971,0.008373,0.007101,0.008915,0.003816,0.004480,0.005278,0.012845,0.047351,0.016524,data/uniform_ah_18/2
0.159398,0.035630,2.840978,0.251630,0.231062,1.126283,0.025682,0.231667,-31.704135,2.305208,0.454394,-0.146080,-0.532094,-0.332044,-0.572174,-0.386075,-0.215238,-0.172935,-0.159596,-0.004638,0.025595,0.019076,0.002445,0.032068,0.022178,0.037311,0.060037,0.036630,0.001395,0.017640,0.007824,0.016466,0.003727,0.028470,0.102652,0.066947,0.419510,0.097187,0.048456,0.816686,0.024282,0.211713,6.411977,1.278072,0.380066,0.336611,0.557880,0.317747,0.280604,0.185674,0.268195,0.246561,0.221558,0.172678,0.163334,0.010638,0.002359,0.024873,0.023731,0.040092,0.065569,0.029000,0.001628,0.028677,0.004946,0.014270,0.003428,0.014398,data/uniform_ah_18/2
0.167607,0.037208,2.761738,0.290582,0.237010,1.425043,0.019796,0.283438,-31.973329,1.878095,0.306302,-0.168632,-0.478807,-0.110963,-0.289611,-0.232919,-0.086482,-0.123026,-0.128069,-0.067611,-0.026832,0.020198,0.008417,0.020091,0.013299,0.017178,0.015483,0.069723,0.001339,0.019237,0.016006,0.018066,0.005243,0.027413,0.101003,0.060842,0.659555,0.121782,0.043210,0.778718,0.022640,0.247788,7.257279,1.253111,0.432738,0.379111,0.631547,0.366610,0.326440,0.302051,0.263972,0.184379,0.302357,0.185266,0.281359,0.020522,0.017387,0.019008,0.014921,0.015562,0.014004,0.069044,0.001730,0.045416,0.024500,0.023795,0.009688,0.016980,data/uniform_ah_18/2
0.228365,0.023320,2.863646,0.335903,0.255466,1.836006,0.013622,0.365294,-32.995049,1.418761,0.183436,-0.279548,-0.500996,-0.249405,-0.240956,-0.063699,-0.141704,-0.187766,-0.125456,-0.158921,0.002108,0.030894,0.010860,0.028481,0.009514,0.015953,0.009155,0.028352,0.001447,0.010140,0.010674,0.017260,0.006944,0.017206,0.120629,0.048390,0.630781,0.101773,0.029646,0.801485,0.011485,0.252915,6.781989,1.182990,0.414049,0.386827,0.542978,0.502961,0.274328,0.179562,0.253407,0.310147,0.265856,0.193983,0.230366,0.029157,0.014331,0.029552,0.007109,0.014182,0.012718,0.033495,0.001216,0.012346,0.012256,0.028000,0.009430,0.011433,data/uniform_ah_18/2
0.171094,0.017915,2.752273,0.297921,0.257225,1.595252,0.013293,0.274333,-33.133142,1.804901,0.163786,-0.161467,-0.529617,-0.407990,-0.253933,-0.091440,-0.215522,-0.171605,-0.037834,-0.157029,-0.026897,0.034960,0.009262,0.045953,0.019733,0.018864,0.014303,0.033418,0.002004,0.008181,0.015385,0.023333,0.007571,0.023808,0.070690,0.039309,0.449086,0.080311,0.031483,0.693207,0.012519,0.203878,6.782209,0.858008,0.424053,0.421172,0.575312,0.332702,0.223570,0.164702,0.221682,0.268425,0.181408,0.193442,0.179775,0.037078,0.013169,0.052266,0.013614,0.012165,0.017100,0.033348,0.001704,0.006750,0.017303,0.032665,0.007340,0.013556,data/uniform_ah_18/2
0.228070,0.011371,2.863216,0.375372,0.261967,2.241230,0.008293,0.540000,-32.966295,0.962709,0.177440,-0.201212,-0.529485,-0.213676,-0.281555,-0.221059,-0.071690,-0.109637,-0.042303,-0.129034,-0.119509,0.017697,0.002784,0.024573,0.010752,0.012568,0.006695,0.038209,0.002283,0.007784,0.016447,0.016024,0.005165,0.015636,0.099811,0.022437,0.591975,0.102766,0.028244,0.751363,0.006606,0.238155,6.825056,1.072944,0.603632,0.350134,0.613358,0.214416,0.250288,0.267087,0.163771,0.115530,0.148530,0.105418,0.134224,0.013027,0.002136,0.023096,0.009596,0.007352,0.008082,0.032422,0.001670,0.010970,0.025301,0.010948,0.004694,0.008185,data/uniform_ah_18/2
0.205778,0.012170,2.762563,0.333056,0.247853,2.054789,0.010424,0.448158,-32.703970,1.352336,-0.042148,-0.194651,-0.713758,-0.306215,-0.271261,-0.274450,-0.086504,-0.195917,-0.190257,-0.206791,-0.172583,0.022501,0.007490,0.024251,0.014898,0.018445,0.011115,0.020730,0.002322,0.011946,0.016063,0.024268,0.005586,0.015883,0.069821,0.023872,0.515006,0.084104,0.035492,0.628074,0.009722,0.197085,6.294168,0.933419,0.576586,0.443262,0.561390,0.216997,0.202689,0.264746,0.209029,0.195520,0.272259,0.248077,0.211145,0.022204,0.007025,0.021590,0.014373,0.018384,0.010271,0.020345,0.001678,0.013622,0.017743,0.032662,0.004597,0.009201,data/uniform_ah_18/2
0.234557,0.025753,3.029414,0.326462,0.251010,2.066491,0.009365,0.459412,-29.422958,1.289794,-0.287403,-0.345851,-0.586810,-0.396566,-0.097650,-0.133566,-0.003030,-0.259963,-0.235951,-0.127583,-0.099246,0.033034,0.009980,0.033262,0.015776,0.010319,0.007850,0.036702,0.001930,0.004560,0.013348,0.015406,0.010560,0.020288,0.105176,0.044378,0.298474,0.076647,0.032235,0.612087,0.007316,0.231649,5.847091,0.757944,0.573860,0.475826,0.451416,0.357013,0.219128,0.290835,0.271193,0.263792,0.309999,0.336944,0.172130,0.039390,0.013380,0.020402,0.013448,0.006106,0.009667,0.052720,0.001413,0.003263,0.018286,0.013229,0.012505,0.013279,data/uniform_ah_18/2
0.248434,0.017121,3.019866,0.346573,0.256475,2.145893,0.010465,0.481562,-30.088316,1.169921,0.102847,-0.293563,-0.736155,-0.357607,-0.075980,-0.192210,-0.014478,-0.305479,-0.287026,-0.150221,-0.080054,0.035579,0.007488,0.033399,0.012473,0.010235,0.007420,0.024799,0.002017,0.007537,0.011394,0.016919,0.015590,0.018140,0.118667,0.032167,0.267629,0.079735,0.023850,0.605027,0.007423,0.210370,5.462766,0.840370,0.570510,0.387582,0.475391,0.384929,0.248957,0.183093,0.223114,0.249356,0.283706,0.250372,0.175307,0.034586,0.011652,0.024537,0.010497,0.009009,0.008458,0.020058,0.001827,0.009353,0.015177,0.019087,0.030763,0.010293,data/uniform_ah_18/2
0.226638,0.014614,2.886778,0.322515,0.244211,1.940759,0.014976,0.436071,-32.146238,1.567639,0.041761,-0.360209,-0.713317,-0.201302,-0.299804,-0.023808,-0.125825,-0.020548,-0.251387,-0.110675,-0.034386,0.025666,0.007614,0.027259,0.012128,0.016058,0.010949,0.035174,0.002513,0.013475,0.016709,0.015836,0.006319,0.017913,0.111998,0.027185,0.500873,0.114129,0.045158,0.856441,0.013119,0.278107,6.049170,1.327139,0.408836,0.387755,0.787956,0.348382,0.389136,0.151165,0.155386,0.204805,0.188929,0.158015,0.139585,0.016316,0.009528,0.017503,0.013545,0.010971,0.019762,0.035551,0.002815,0.020770,0.028719,0.015682,0.007781,0.009425,data/uniform_ah_18/2
0.222700,0.017449,2.851100,0.298242,0.242145,1.710193,0.015731,0.381786,-31.409340,1.780952,0.109800,-0.270748,-0.614127,-0.255692,-0.268583,0.023060,-0.135884,0.028099,-0.165770,-0.146181,-0.134649,0.022074,0.007263,0.023038,0.009361,0.018836,0.011784,0.053085,0.001240,0.006300,0.021485,0.028335,0.008671,0.023084,0.129773,0.031519,0.451979,0.109318,0.045186,0.930120,0.014339,0.276842,5.854495,1.291596,0.498344,0.458221,0.649291,0.167500,0.276220,0.262047,0.216357,0.190642,0.190658,0.238258,0.202062,0.010112,0.007966,0.018533,0.007330,0.015967,0.018426,0.064895,0.001131,0.006540,0.030895,0.030921,0.010057,0.015168,data/uniform_ah_18/2
